        Time	          P1	          P2	           M	          Q1	          Q2	          D1	          D2	           B	         EP1	         EP2	          EM	          IC	         Tot	          pH	         fpH	       CO2aq	          O2	       fsalt	        frdx	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.2700e+00	  9.9631e-01	  2.9482e-05	  0.0000e+00	  1.0000e+00	  0.0000e+00	
  2.4000e+01	  4.0005e+00	  2.0004e+00	  1.0000e+01	  8.0257e-02	  9.1361e-01	  1.1963e-01	  3.8671e-01	  2.0040e-01	  1.2137e-05	  1.0950e-05	  1.1543e-05	  3.1941e-04	  1.8002e+01	  6.2715e+00	  9.9621e-01	  2.3240e-05	  2.3990e-03	  1.0000e+00	  9.9867e-01	
  4.8000e+01	  4.0011e+00	  2.0007e+00	  1.0000e+01	  6.7505e-02	  9.2579e-01	  1.3221e-01	  3.7487e-01	  2.0085e-01	  1.4228e-05	  1.1880e-05	  1.3054e-05	  6.5292e-04	  1.8003e+01	  6.2710e+00	  9.9624e-01	  2.3368e-05	  2.3947e-03	  1.0000e+00	  9.9866e-01	
  7.2000e+01	  4.0016e+00	  2.0011e+00	  1.0000e+01	  5.9566e-02	  9.3670e-01	  1.3993e-01	  3.6431e-01	  2.0134e-01	  1.6274e-05	  1.2790e-05	  1.4532e-05	  9.9387e-04	  1.8005e+01	  6.2706e+00	  9.9627e-01	  2.3499e-05	  2.3904e-03	  1.0000e+00	  9.9864e-01	
  9.6000e+01	  4.0021e+00	  2.0014e+00	  1.0000e+01	  5.4732e-02	  9.4649e-01	  1.4453e-01	  3.5486e-01	  2.0184e-01	  1.8279e-05	  1.3682e-05	  1.5980e-05	  1.3384e-03	  1.8006e+01	  6.2701e+00	  9.9631e-01	  2.3631e-05	  2.3860e-03	  1.0000e+00	  9.9863e-01	
  1.2000e+02	  4.0026e+00	  2.0018e+00	  1.0000e+01	  5.1824e-02	  9.5531e-01	  1.4719e-01	  3.4640e-01	  2.0235e-01	  2.0241e-05	  1.4556e-05	  1.7399e-05	  1.6843e-03	  1.8008e+01	  6.2697e+00	  9.9634e-01	  2.3764e-05	  2.3816e-03	  1.0000e+00	  9.9861e-01	
  1.4400e+02	  4.0031e+00	  2.0021e+00	  1.0001e+01	  5.0083e-02	  9.6326e-01	  1.4868e-01	  3.3882e-01	  2.0287e-01	  2.2163e-05	  1.5412e-05	  1.8788e-05	  2.0304e-03	  1.8010e+01	  6.2692e+00	  9.9637e-01	  2.3897e-05	  2.3772e-03	  1.0000e+00	  9.9860e-01	
  1.6800e+02	  4.0037e+00	  2.0024e+00	  1.0001e+01	  4.9039e-02	  9.7043e-01	  1.4947e-01	  3.3201e-01	  2.0339e-01	  2.4046e-05	  1.6251e-05	  2.0149e-05	  2.3761e-03	  1.8011e+01	  6.2688e+00	  9.9640e-01	  2.4030e-05	  2.3728e-03	  1.0000e+00	  9.9858e-01	
  1.9200e+02	  4.0042e+00	  2.0027e+00	  1.0001e+01	  4.8409e-02	  9.7692e-01	  1.4984e-01	  3.2590e-01	  2.0391e-01	  2.5890e-05	  1.7073e-05	  2.1482e-05	  2.7211e-03	  1.8013e+01	  6.2683e+00	  9.9643e-01	  2.4163e-05	  2.3684e-03	  1.0000e+00	  9.9857e-01	
  2.1600e+02	  4.0047e+00	  2.0030e+00	  1.0001e+01	  4.8024e-02	  9.8279e-01	  1.4997e-01	  3.2041e-01	  2.0444e-01	  2.7697e-05	  1.7879e-05	  2.2788e-05	  3.0652e-03	  1.8014e+01	  6.2679e+00	  9.9646e-01	  2.4295e-05	  2.3640e-03	  1.0000e+00	  9.9855e-01	
