        Time	          P1	          P2	           M	          Q1	          Q2	          D1	          D2	           B	         EP1	         EP2	          EM	          IC	         Tot	          pH	         fpH	       CO2aq	          O2	       fsalt	        frdx	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.8900e+00	  9.4955e-01	  2.0151e-05	  2.5531e-03	  1.0000e+00	  9.9917e-01	
  2.4000e+01	  4.1384e+00	  1.8677e+00	  1.0179e+01	  6.0570e-02	  1.2200e+00	  2.5722e-01	  4.4173e-01	  6.1079e-01	  3.0807e-04	  1.4236e-04	  2.2528e-04	  1.6814e-01	  1.8755e+01	  5.7784e+00	  9.1016e-01	  1.4488e-05	  2.4973e-03	  9.9996e-01	  9.9900e-01	
  4.8000e+01	  4.1387e+00	  1.8669e+00	  1.0180e+01	  6.0602e-02	  1.2208e+00	  2.5641e-01	  4.4237e-01	  6.1232e-01	  3.0826e-04	  1.4236e-04	  2.2538e-04	  1.6940e-01	  1.8757e+01	  5.7524e+00	  8.9957e-01	  1.4843e-05	  2.3054e-03	  9.9985e-01	  9.9834e-01	
  7.2000e+01	  4.1389e+00	  1.8661e+00	  1.0181e+01	  6.0586e-02	  1.2215e+00	  2.5567e-01	  4.4302e-01	  6.1382e-01	  3.0847e-04	  1.4238e-04	  2.2549e-04	  1.7065e-01	  1.8760e+01	  5.7406e+00	  8.9459e-01	  1.5225e-05	  2.1196e-03	  9.9967e-01	  9.9759e-01	
  9.6000e+01	  4.1392e+00	  1.8654e+00	  1.0182e+01	  6.0547e-02	  1.2222e+00	  2.5497e-01	  4.4368e-01	  6.1532e-01	  3.0869e-04	  1.4240e-04	  2.2561e-04	  1.7189e-01	  1.8762e+01	  5.7342e+00	  8.9189e-01	  1.5615e-05	  1.9389e-03	  9.9943e-01	  9.9672e-01	
  1.2000e+02	  4.1395e+00	  1.8646e+00	  1.0183e+01	  6.0497e-02	  1.2229e+00	  2.5428e-01	  4.4434e-01	  6.1680e-01	  3.0892e-04	  1.4242e-04	  2.2573e-04	  1.7313e-01	  1.8765e+01	  5.7307e+00	  8.9034e-01	  1.6008e-05	  1.7629e-03	  9.9911e-01	  9.9570e-01	
  1.4400e+02	  4.1397e+00	  1.8639e+00	  1.0184e+01	  6.0440e-02	  1.2236e+00	  2.5361e-01	  4.4502e-01	  6.1828e-01	  3.0917e-04	  1.4246e-04	  2.2587e-04	  1.7437e-01	  1.8768e+01	  5.7287e+00	  8.8948e-01	  1.6402e-05	  1.5914e-03	  9.9873e-01	  9.9450e-01	
  1.6800e+02	  4.1400e+00	  1.8631e+00	  1.0185e+01	  6.0381e-02	  1.2243e+00	  2.5295e-01	  4.4570e-01	  6.1975e-01	  3.0943e-04	  1.4250e-04	  2.2602e-04	  1.7561e-01	  1.8770e+01	  5.7277e+00	  8.8904e-01	  1.6796e-05	  1.4242e-03	  9.9828e-01	  9.9305e-01	
  1.9200e+02	  4.1403e+00	  1.8623e+00	  1.0186e+01	  6.0320e-02	  1.2249e+00	  2.5229e-01	  4.4638e-01	  6.2122e-01	  3.0970e-04	  1.4254e-04	  2.2618e-04	  1.7685e-01	  1.8773e+01	  5.7273e+00	  8.8889e-01	  1.7189e-05	  1.2613e-03	  9.9776e-01	  9.9128e-01	
  2.1600e+02	  4.1405e+00	  1.8616e+00	  1.0187e+01	  6.0259e-02	  1.2256e+00	  2.5164e-01	  4.4708e-01	  6.2268e-01	  3.0999e-04	  1.4259e-04	  2.2635e-04	  1.7809e-01	  1.8775e+01	  5.7274e+00	  8.8894e-01	  1.7582e-05	  1.1026e-03	  9.9716e-01	  9.8906e-01	
  2.4000e+02	  4.1408e+00	  1.8608e+00	  1.0188e+01	  6.0198e-02	  1.2263e+00	  2.5100e-01	  4.4778e-01	  6.2413e-01	  3.1029e-04	  1.4265e-04	  2.2652e-04	  1.7933e-01	  1.8778e+01	  5.7279e+00	  8.8913e-01	  1.7973e-05	  9.4813e-04	  9.9649e-01	  9.8620e-01	
  2.6400e+02	  4.1411e+00	  1.8601e+00	  1.0189e+01	  6.0137e-02	  1.2269e+00	  2.5037e-01	  4.4848e-01	  6.2557e-01	  3.1060e-04	  1.4271e-04	  2.2671e-04	  1.8056e-01	  1.8781e+01	  5.7286e+00	  8.8943e-01	  1.8363e-05	  7.9783e-04	  9.9574e-01	  9.8237e-01	
  2.8800e+02	  4.1414e+00	  1.8593e+00	  1.0190e+01	  6.0076e-02	  1.2276e+00	  2.4975e-01	  4.4919e-01	  6.2701e-01	  3.1092e-04	  1.4278e-04	  2.2690e-04	  1.8179e-01	  1.8783e+01	  5.7294e+00	  8.8981e-01	  1.8751e-05	  6.5182e-04	  9.9492e-01	  9.7702e-01	
  3.1200e+02	  4.1417e+00	  1.8586e+00	  1.0191e+01	  6.0016e-02	  1.2282e+00	  2.4915e-01	  4.4991e-01	  6.2842e-01	  3.1125e-04	  1.4285e-04	  2.2710e-04	  1.8302e-01	  1.8786e+01	  5.7304e+00	  8.9024e-01	  1.9136e-05	  5.1030e-04	  9.9401e-01	  9.6902e-01	
  3.3600e+02	  4.1420e+00	  1.8578e+00	  1.0192e+01	  5.9958e-02	  1.2288e+00	  2.4857e-01	  4.5063e-01	  6.2981e-01	  3.1159e-04	  1.4293e-04	  2.2731e-04	  1.8423e-01	  1.8788e+01	  5.7315e+00	  8.9071e-01	  1.9516e-05	  3.7365e-04	  9.9304e-01	  9.5584e-01	
