        Time	          P1	          P2	           M	          Q1	          Q2	          D1	          D2	           B	         EP1	         EP2	          EM	          IC	         Tot	          pH	         fpH	       CO2aq	          O2	       fsalt	        frdx	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.7800e+00	  9.1081e-01	  1.8662e-05	  2.5531e-03	  1.0000e+00	  9.9917e-01	
  2.4000e+01	  4.1553e+00	  1.8293e+00	  1.0203e+01	  6.2009e-02	  1.2397e+00	  2.7306e-01	  4.6664e-01	  6.2056e-01	  3.1687e-04	  1.4266e-04	  2.3006e-04	  1.8898e-01	  1.8849e+01	  5.6660e+00	  8.6094e-01	  1.3169e-05	  2.4972e-03	  9.9996e-01	  9.9900e-01	
  4.8000e+01	  4.1555e+00	  1.8286e+00	  1.0204e+01	  6.2033e-02	  1.2404e+00	  2.7228e-01	  4.6729e-01	  6.2204e-01	  3.1703e-04	  1.4265e-04	  2.3013e-04	  1.9023e-01	  1.8851e+01	  5.6390e+00	  8.4786e-01	  1.3516e-05	  2.3065e-03	  9.9985e-01	  9.9834e-01	
  7.2000e+01	  4.1558e+00	  1.8279e+00	  1.0205e+01	  6.2015e-02	  1.2411e+00	  2.7157e-01	  4.6795e-01	  6.2350e-01	  3.1721e-04	  1.4265e-04	  2.3021e-04	  1.9147e-01	  1.8854e+01	  5.6263e+00	  8.4159e-01	  1.3883e-05	  2.1223e-03	  9.9967e-01	  9.9760e-01	
  9.6000e+01	  4.1561e+00	  1.8272e+00	  1.0206e+01	  6.1978e-02	  1.2417e+00	  2.7090e-01	  4.6863e-01	  6.2493e-01	  3.1739e-04	  1.4266e-04	  2.3030e-04	  1.9270e-01	  1.8856e+01	  5.6193e+00	  8.3806e-01	  1.4255e-05	  1.9433e-03	  9.9943e-01	  9.9674e-01	
  1.2000e+02	  4.1564e+00	  1.8266e+00	  1.0207e+01	  6.1932e-02	  1.2424e+00	  2.7024e-01	  4.6931e-01	  6.2636e-01	  3.1760e-04	  1.4267e-04	  2.3040e-04	  1.9393e-01	  1.8859e+01	  5.6151e+00	  8.3594e-01	  1.4628e-05	  1.7692e-03	  9.9913e-01	  9.9574e-01	
  1.4400e+02	  4.1567e+00	  1.8259e+00	  1.0208e+01	  6.1881e-02	  1.2430e+00	  2.6960e-01	  4.6999e-01	  6.2778e-01	  3.1781e-04	  1.4270e-04	  2.3051e-04	  1.9515e-01	  1.8862e+01	  5.6125e+00	  8.3465e-01	  1.5000e-05	  1.5995e-03	  9.9875e-01	  9.9456e-01	
  1.6800e+02	  4.1570e+00	  1.8252e+00	  1.0209e+01	  6.1828e-02	  1.2437e+00	  2.6897e-01	  4.7069e-01	  6.2919e-01	  3.1804e-04	  1.4272e-04	  2.3064e-04	  1.9638e-01	  1.8864e+01	  5.6110e+00	  8.3389e-01	  1.5372e-05	  1.4342e-03	  9.9831e-01	  9.9315e-01	
  1.9200e+02	  4.1573e+00	  1.8246e+00	  1.0209e+01	  6.1773e-02	  1.2443e+00	  2.6834e-01	  4.7139e-01	  6.3060e-01	  3.1829e-04	  1.4276e-04	  2.3077e-04	  1.9760e-01	  1.8867e+01	  5.6102e+00	  8.3348e-01	  1.5742e-05	  1.2731e-03	  9.9780e-01	  9.9143e-01	
  2.1600e+02	  4.1576e+00	  1.8239e+00	  1.0210e+01	  6.1719e-02	  1.2449e+00	  2.6772e-01	  4.7209e-01	  6.3199e-01	  3.1854e-04	  1.4279e-04	  2.3091e-04	  1.9882e-01	  1.8869e+01	  5.6100e+00	  8.3334e-01	  1.6111e-05	  1.1162e-03	  9.9721e-01	  9.8927e-01	
  2.4000e+02	  4.1579e+00	  1.8232e+00	  1.0211e+01	  6.1665e-02	  1.2455e+00	  2.6711e-01	  4.7280e-01	  6.3339e-01	  3.1881e-04	  1.4284e-04	  2.3106e-04	  2.0004e-01	  1.8872e+01	  5.6100e+00	  8.3337e-01	  1.6478e-05	  9.6331e-04	  9.9656e-01	  9.8652e-01	
  2.6400e+02	  4.1582e+00	  1.8226e+00	  1.0212e+01	  6.1611e-02	  1.2462e+00	  2.6651e-01	  4.7352e-01	  6.3477e-01	  3.1909e-04	  1.4289e-04	  2.3122e-04	  2.0126e-01	  1.8875e+01	  5.6104e+00	  8.3355e-01	  1.6843e-05	  8.1457e-04	  9.9583e-01	  9.8287e-01	
  2.8800e+02	  4.1586e+00	  1.8219e+00	  1.0213e+01	  6.1557e-02	  1.2468e+00	  2.6592e-01	  4.7424e-01	  6.3614e-01	  3.1938e-04	  1.4294e-04	  2.3139e-04	  2.0248e-01	  1.8877e+01	  5.6109e+00	  8.3383e-01	  1.7206e-05	  6.7001e-04	  9.9502e-01	  9.7781e-01	
  3.1200e+02	  4.1589e+00	  1.8213e+00	  1.0214e+01	  6.1504e-02	  1.2474e+00	  2.6534e-01	  4.7497e-01	  6.3749e-01	  3.1969e-04	  1.4300e-04	  2.3156e-04	  2.0369e-01	  1.8880e+01	  5.6116e+00	  8.3419e-01	  1.7565e-05	  5.2979e-04	  9.9414e-01	  9.7037e-01	
  3.3600e+02	  4.1592e+00	  1.8206e+00	  1.0215e+01	  6.1453e-02	  1.2480e+00	  2.6479e-01	  4.7571e-01	  6.3882e-01	  3.2000e-04	  1.4307e-04	  2.3175e-04	  2.0489e-01	  1.8883e+01	  5.6125e+00	  8.3461e-01	  1.7920e-05	  3.9425e-04	  9.9319e-01	  9.5838e-01	
  3.6000e+02	  4.1595e+00	  1.8199e+00	  1.0216e+01	  6.1404e-02	  1.2486e+00	  2.6429e-01	  4.7645e-01	  6.4011e-01	  3.2032e-04	  1.4314e-04	  2.3194e-04	  2.0607e-01	  1.8885e+01	  5.6134e+00	  8.3507e-01	  1.8268e-05	  2.6418e-04	  9.9218e-01	  9.3613e-01	
  3.8400e+02	  4.1599e+00	  1.8193e+00	  1.0217e+01	  6.1358e-02	  1.2492e+00	  2.6389e-01	  4.7721e-01	  6.4131e-01	  3.2065e-04	  1.4321e-04	  2.3214e-04	  2.0721e-01	  1.8888e+01	  5.6143e+00	  8.3555e-01	  1.8602e-05	  1.4178e-04	  9.9112e-01	  8.8251e-01	
  4.0800e+02	  4.1604e+00	  1.8186e+00	  1.0218e+01	  6.1323e-02	  1.2497e+00	  2.6382e-01	  4.7802e-01	  6.4222e-01	  3.2099e-04	  1.4329e-04	  2.3234e-04	  2.0821e-01	  1.8891e+01	  5.6152e+00	  8.3600e-01	  1.8894e-05	  3.6860e-05	  9.9013e-01	  6.5279e-01	
  4.3200e+02	  4.1612e+00	  1.8180e+00	  1.0218e+01	  6.1331e-02	  1.2503e+00	  2.6526e-01	  4.7904e-01	  6.4181e-01	  3.2133e-04	  1.4336e-04	  2.3254e-04	  2.0856e-01	  1.8894e+01	  5.6155e+00	  8.3616e-01	  1.8997e-05	  3.4429e-07	  9.8977e-01	  1.7042e-02	
